designation,jd_utc,ra_deg,dec_deg,magnitude,band,obs_code,year,source,raw_line
0003I,2460804.017659,288.14829166666664,-18.705930555555554,21.57,V,C57,2025,mpc_real,0003I         S2025 05 08.51765919 12 35.590-18 42 21.35         21.57VV#0K4XC57
0003I,2460806.103515,287.86289166666666,-18.68936111111111,21.64,V,C57,2025,mpc_real,0003I         S2025 05 10.60351519 11 27.094-18 41 21.70         21.64VV#0K4XC57
0003I,2460808.189361,287.5490625,-18.680433333333333,21.82,V,C57,2025,mpc_real,0003I         S2025 05 12.68936119 10 11.775-18 40 49.56         21.82VV#0K4XC57
0003I,2460810.490495,287.17737916666664,-18.67850277777778,21.39,V,C57,2025,mpc_real,0003I         S2025 05 14.99049519 08 42.571-18 40 42.61         21.39VV#0K4XC57
0003I,2460810.921174,287.11769166666664,-18.694300000000002,19.22,r,I41,2025,mpc_real,0003I         C2025 05 15.42117419 08 28.246-18 41 39.48         19.22rU#0K4XI41
0003I,2460812.576322,286.8209583333333,-18.681144444444445,20.81,V,C57,2025,mpc_real,0003I         S2025 05 17.07632219 07 17.030-18 40 52.12         20.81VV#0K4XC57
0003I,2460816.866015,286.04635,-18.701291666666666,20.8,V,C57,2025,mpc_real,0003I         S2025 05 21.36601519 04 11.124-18 42 04.65         20.80VV#0K4XC57
0003I,2460817.873611,285.832075,-18.699697222222223,20.49,g,I41,2025,mpc_real,0003I         C2025 05 22.37361119 03 19.698-18 41 58.91         20.49gU#0Jm9I41
0003I,2460817.8738,285.8322958333334,-18.699669444444446,20.52,g,I41,2025,mpc_real,0003I         C2025 05 22.37380019 03 19.751-18 41 58.81         20.52gU#0K4XI41
0003I,2460817.896817,285.8270791666667,-18.699816666666667,20.1,r,I41,2025,mpc_real,0003I         C2025 05 22.39681719 03 18.499-18 41 59.34         20.10rU#0Jm9I41
0003I,2460817.897006,285.8270791666667,-18.699791666666666,20.1,r,I41,2025,mpc_real,0003I         C2025 05 22.39700619 03 18.499-18 41 59.25         20.10rU#0K4XI41
0003I,2460818.07214,285.8043791666667,-18.698238888888888,20.52,V,C57,2025,mpc_real,0003I         S2025 05 22.57214019 03 13.051-18 41 53.66         20.52VV#0K4XC57
0003I,2460819.278263,285.54715000000004,-18.693986111111112,20.49,V,C57,2025,mpc_real,0003I         S2025 05 23.77826319 02 11.316-18 41 38.35         20.49VV#0K4XC57
0003I,2460820.48438,285.2784208333333,-18.69101388888889,20.5,V,C57,2025,mpc_real,0003I         S2025 05 24.98438019 01 06.821-18 41 27.65         20.50VV#0K4XC57
0003I,2460821.690493,284.9998625,-18.689877777777777,20.39,V,C57,2025,mpc_real,0003I         S2025 05 26.19049318 59 59.967-18 41 23.56         20.39VV#0K4XC57
0003I,2460822.87706,284.7247958333333,-18.709722222222222,20.29,r,I41,2025,mpc_real,0003I         C2025 05 27.37706018 58 53.951-18 42 35.00         20.29rU#0Jm9I41
0003I,2460822.877249,284.724925,-18.709619444444442,20.4,r,I41,2025,mpc_real,0003I         C2025 05 27.37724918 58 53.982-18 42 34.63         20.40rU#0K4XI41
0003I,2460822.896603,284.71218749999997,-18.69068888888889,20.14,V,C57,2025,mpc_real,0003I         S2025 05 27.39660318 58 50.925-18 41 26.48         20.14VV#0K4XC57
0003I,2460824.326103,284.35999166666664,-18.69421388888889,19.92,V,C57,2025,mpc_real,0003I         S2025 05 28.82610318 57 26.398-18 41 39.17         19.92VV#0K4XC57
0003I,2460825.529889,284.054425,-18.699430555555555,20.03,V,C57,2025,mpc_real,0003I         S2025 05 30.02988918 56 13.062-18 41 57.95         20.03VV#0K4XC57
0003I,2460826.73367,283.74134166666664,-18.706833333333332,19.82,V,C57,2025,mpc_real,0003I         S2025 05 31.23367018 54 57.922-18 42 24.60         19.82VV#0K4XC57
0003I,2460827.937449,283.42200833333334,-18.716513888888887,20.25,V,C57,2025,mpc_real,0003I         S2025 06 01.43744918 53 41.282-18 42 59.45         20.25VV#0K4XC57
0003I,2460830.861643,282.6120458333333,-18.732863888888886,19.9,r,I41,2025,mpc_real,0003I         C2025 06 04.36164318 50 26.891-18 43 58.31         19.90rU#0Jm9I41
0003I,2460830.861829,282.6120333333333,-18.732674999999997,19.91,r,I41,2025,mpc_real,0003I         C2025 06 04.36182918 50 26.888-18 43 57.63         19.91rU#0K4XI41
0003I,2460830.898803,282.6011708333333,-18.732994444444444,20.25,g,I41,2025,mpc_real,0003I         C2025 06 04.39880318 50 24.281-18 43 58.78         20.25gU#0K4XI41
0003I,2460834.840926,281.38727916666664,-18.744400000000002,, ,I41,2025,mpc_real,0003I         C2025 06 08.34092618 45 32.947-18 44 39.84               U#0Jm9I41
0003I,2460834.899676,281.36777083333334,-18.744922222222222,19.72,g,I41,2025,mpc_real,0003I         C2025 06 08.39967618 45 28.265-18 44 41.72         19.72gU#0Jm9I41
0003I,2460834.899868,281.3677916666667,-18.744869444444447,19.74,g,I41,2025,mpc_real,0003I         C2025 06 08.39986818 45 28.270-18 44 41.53         19.74gU#0K4XI41
0003I,2460836.842037,280.7258375,-18.749594444444444,19.31,r,I41,2025,mpc_real,0003I         C2025 06 10.34203718 42 54.201-18 44 58.54         19.31rU#0Jm9I41
0003I,2460836.84222,280.72557083333334,-18.749536111111112,19.53,r,I41,2025,mpc_real,0003I         C2025 06 10.34222018 42 54.137-18 44 58.33         19.53rU#0K4XI41
0003I,2460840.752037,279.3416833333333,-18.757358333333332,19.58,g,I41,2025,mpc_real,0003I         C2025 06 14.25203718 37 22.004-18 45 26.49         19.58gU#0Jm9I41
0003I,2460840.752221,279.3418833333333,-18.75743611111111,19.55,g,I41,2025,mpc_real,0003I         C2025 06 14.25222118 37 22.052-18 45 26.77         19.55gU#0K4XI41
0003I,2460844.858808,277.75458333333336,-18.75973888888889,18.65,r,I41,2025,mpc_real,0003I         C2025 06 18.35880818 31 01.100-18 45 35.06         18.65rU#0Jm9I41
0003I,2460844.858997,277.7544291666666,-18.759955555555557,18.62,r,I41,2025,mpc_real,0003I         C2025 06 18.35899718 31 01.063-18 45 35.84         18.62rU#0K4XI41
0003I,2460844.936493,277.7229125,-18.760025,19.15,g,I41,2025,mpc_real,0003I         C2025 06 18.43649318 30 53.499-18 45 36.09         19.15gU#0Jm9I41
0003I,2460844.936675,277.7227625,-18.760033333333332,19.09,g,I41,2025,mpc_real,0003I         C2025 06 18.43667518 30 53.463-18 45 36.12         19.09gU#0K4XI41
0003I,2460847.732222,276.56025,-18.756763888888887,20.21,g,I41,2025,mpc_real,0003I         C2025 06 21.23222218 26 14.460-18 45 24.35         20.21gU#0Jm9I41
0003I,2460847.732405,276.5604791666667,-18.756766666666667,20.2,g,I41,2025,mpc_real,0003I         C2025 06 21.23240518 26 14.515-18 45 24.36         20.20gU#0K4XI41
0003I,2460848.124177,276.39197083333335,-18.756294444444446,18.21,g,E55,2025,mpc_real,0003I         C2025 06 21.62417718 25 34.073-18 45 22.66         18.21gV#0K4XE55
0003I,2460848.124803,276.39195,-18.756330555555557,18.31,g,E55,2025,mpc_real,0003I         C2025 06 21.62480318 25 34.068-18 45 22.79         18.31gV#0K4XE55
0003I,2460848.125416,276.39185833333335,-18.756186111111113,18.12,g,E55,2025,mpc_real,0003I         C2025 06 21.62541618 25 34.046-18 45 22.27         18.12gV#0K4XE55
0003I,2460848.12604,276.39178749999996,-18.75653888888889,18.47,g,E55,2025,mpc_real,0003I         C2025 06 21.62604018 25 34.029-18 45 23.54         18.47gV#0K4XE55
0003IK25N010,2460850.887441,275.16745,-18.74596111111111,18.09,o,W68,2025,mpc_real,0003IK25N010  C2025 06 24.38744118 20 40.188-18 44 45.46         18.09oV#0JSJW68
0003IK25N010,2460850.890779,275.1660708333333,-18.746011111111113,18.14,o,W68,2025,mpc_real,0003IK25N010  C2025 06 24.39077918 20 39.857-18 44 45.64         18.14oV#0JSJW68
0003IK25N010,2460850.906586,275.1589708333333,-18.745980555555555,18.09,o,W68,2025,mpc_real,0003IK25N010  C2025 06 24.40658618 20 38.153-18 44 45.53         18.09oV#0JSJW68
0003IK25N010,2460851.573929,274.85339166666665,-18.74278888888889,18.39,c,M22,2025,mpc_real,0003IK25N010  C2025 06 25.07392918 19 24.814-18 44 34.04         18.39cV#0JSJM22
0003IK25N010,2460851.575333,274.8530583333333,-18.742980555555558,18.37,c,M22,2025,mpc_real,0003IK25N010  C2025 06 25.07533318 19 24.734-18 44 34.73         18.37cV#0JSJM22
0003IK25N010,2460851.59429,274.8440791666667,-18.742769444444445,18.36,c,M22,2025,mpc_real,0003IK25N010  C2025 06 25.09429018 19 22.579-18 44 33.97         18.36cV#0JSJM22
0003IK25N010,2460853.739438,273.8370291666667,-18.730249999999998,17.84,o,W68,2025,mpc_real,0003IK25N010  C2025 06 27.23943818 15 20.887-18 43 48.90         17.84oV#0JSJW68
0003IK25N010,2460853.743947,273.83484166666665,-18.730169444444442,18.02,o,W68,2025,mpc_real,0003IK25N010  C2025 06 27.24394718 15 20.362-18 43 48.61         18.02oV#0JSJW68
0003I,2460853.835289,273.791225,-18.73038611111111,17.97,r,I41,2025,mpc_real,0003I         C2025 06 27.33528918 15 09.894-18 43 49.39         17.97rU#0Jm9I41
0003I,2460853.835476,273.7910125,-18.730383333333332,17.98,r,I41,2025,mpc_real,0003I         C2025 06 27.33547618 15 09.843-18 43 49.38         17.98rU#0K4XI41
0003I,2460854.792905,273.3281416666666,-18.72317222222222,18.72,g,I41,2025,mpc_real,0003I         C2025 06 28.29290518 13 18.754-18 43 23.42         18.72gU#0Jm9I41
0003I,2460854.79309,273.32807499999996,-18.723033333333333,18.7,g,I41,2025,mpc_real,0003I         C2025 06 28.29309018 13 18.738-18 43 22.92         18.70gU#0K4XI41
0003IK25N010,2460854.835313,273.307325,-18.72282222222222,, ,I41,2025,mpc_real,0003IK25N010  C2025 06 28.33531318 13 13.758-18 43 22.16               U#0JSJI41
0003IK25N010,2460854.950145,273.25124999999997,-18.721819444444442,18.14,c,T05,2025,mpc_real,0003IK25N010  C2025 06 28.45014518 13 00.300-18 43 18.55         18.14cV#0JSJT05
0003IK25N010,2460854.953332,273.2494708333333,-18.72166111111111,18.38,c,T05,2025,mpc_real,0003IK25N010  C2025 06 28.45333218 12 59.873-18 43 17.98         18.38cV#0JSJT05
0003IK25N010,2460854.959711,273.24649166666666,-18.721669444444444,18.28,c,T05,2025,mpc_real,0003IK25N010  C2025 06 28.45971118 12 59.158-18 43 18.01         18.28cV#0JSJT05
0003I,2460855.8039,272.83095,-18.71459722222222,18.99,g,I41,2025,mpc_real,0003I         C2025 06 29.30390018 11 19.428-18 42 52.55         18.99gU#0Jm9I41
0003I,2460855.804088,272.83081250000004,-18.714594444444444,19.0,g,I41,2025,mpc_real,0003I         C2025 06 29.30408818 11 19.395-18 42 52.54         19.00gU#0K4XI41
0003I,2460855.815081,272.8253208333333,-18.714675,18.47,r,I41,2025,mpc_real,0003I         C2025 06 29.31508118 11 18.077-18 42 52.83         18.47rU#0Jm9I41
0003I,2460855.815263,272.8252625,-18.714533333333332,18.43,r,I41,2025,mpc_real,0003I         C2025 06 29.31526318 11 18.063-18 42 52.32         18.43rU#0K4XI41
0003I,2460856.849965,272.3069583333333,-18.704530555555554,17.98,r,I41,2025,mpc_real,0003I         C2025 06 30.34996518 09 13.670-18 42 16.31         17.98rU#0Jm9I41
0003I,2460856.850149,272.3071166666666,-18.70438888888889,17.98,r,I41,2025,mpc_real,0003I         C2025 06 30.35014918 09 13.708-18 42 15.80         17.98rU#0K4XI41
0003IK25N010,2460857.71888,271.8653208333333,-18.694488888888888,17.72,o,W68,2025,mpc_real,0003IK25N010* C2025 07 01.21888018 07 27.677-18 41 40.16         17.72oV#0JSJW68
0003IK25N010,2460857.722065,271.86372916666664,-18.694480555555558,17.78,o,W68,2025,mpc_real,0003IK25N010  C2025 07 01.22206518 07 27.295-18 41 40.13         17.78oV#0JSKW68
0003IK25N010,2460857.729203,271.85999999999996,-18.69436111111111,17.85,o,W68,2025,mpc_real,0003IK25N010  C2025 07 01.22920318 07 26.400-18 41 39.70         17.85oV#0JSKW68
0003IK25N010,2460857.764248,271.8419291666667,-18.69383888888889,17.93,o,W68,2025,mpc_real,0003IK25N010  C2025 07 01.26424818 07 22.063-18 41 37.82         17.93oV#0JSKW68
0003IK25N010,2460857.846734,271.8004,-18.692869444444444,18.4,G,474,2025,mpc_real,0003IK25N010 KC2025 07 01.34673418 07 12.096-18 41 34.33         18.4 GW#0JSK474
0003IK25N010,2460857.855413,271.7958291666667,-18.692800000000002,18.2,G,474,2025,mpc_real,0003IK25N010 KC2025 07 01.35541318 07 10.999-18 41 34.08         18.2 GW#0JSK474
0003IK25N010,2460857.861931,271.79262083333333,-18.69266111111111,18.2,G,474,2025,mpc_real,0003IK25N010 KC2025 07 01.36193118 07 10.229-18 41 33.58         18.2 GW#0JSK474
0003IK25N010,2460858.34234,271.54475,-18.687944444444444,17.6,G,M45,2025,mpc_real,0003IK25N010 KB2025 07 01.84234 18 06 10.74 -18 41 16.6          17.6 GX#0JSKM45
0003IK25N010,2460858.34987,271.5407083333333,-18.687916666666666,18.4,G,M45,2025,mpc_real,0003IK25N010 KB2025 07 01.84987 18 06 09.77 -18 41 16.5          18.4 GX#0JSKM45
0003IK25N010,2460858.35739,271.53670833333337,-18.687916666666666,18.0,G,M45,2025,mpc_real,0003IK25N010 KB2025 07 01.85739 18 06 08.81 -18 41 16.5          18.0 GX#0JSKM45
0003IK25N010,2460858.378561,271.52591666666666,-18.687416666666667,18.0,V,L01,2025,mpc_real,0003IK25N010 MC2025 07 01.87856118 06 06.22 -18 41 14.7          18.0 Vd#0JSKL01
0003IK25N010,2460858.380664,271.5247916666667,-18.68738888888889,18.0,V,L01,2025,mpc_real,0003IK25N010 KC2025 07 01.88066418 06 05.95 -18 41 14.6          18.0 Vd#0JSKL01
0003IK25N010,2460858.388424,271.52083333333337,-18.687333333333335,18.3,V,L01,2025,mpc_real,0003IK25N010 KC2025 07 01.88842418 06 05.00 -18 41 14.4          18.3 Vd#0JSKL01
0003IK25N010,2460858.390622,271.5196666666667,-18.68725,18.2,V,L01,2025,mpc_real,0003IK25N010 MC2025 07 01.89062218 06 04.72 -18 41 14.1          18.2 Vd#0JSKL01
0003IK25N010,2460858.40559,271.51200000000006,-18.68691666666667,17.5,G,G02,2025,mpc_real,0003IK25N010 KB2025 07 01.90559 18 06 02.88 -18 41 12.9          17.5 GX#0JSKG02
0003IK25N010,2460858.4147,271.5072916666667,-18.686833333333333,17.4,G,G02,2025,mpc_real,0003IK25N010 KB2025 07 01.91470 18 06 01.75 -18 41 12.6          17.4 GX#0JSKG02
0003IK25N010,2460858.42381,271.50254166666673,-18.686555555555557,17.4,G,G02,2025,mpc_real,0003IK25N010 KB2025 07 01.92381 18 06 00.61 -18 41 11.6          17.4 GX#0JSKG02
0003IK25N010,2460858.42548,271.50175,-18.686833333333333,17.4,G,G00,2025,mpc_real,0003IK25N010 KB2025 07 01.92548 18 06 00.42 -18 41 12.6          17.4 GX#0JSKG00
0003IK25N010,2460858.427181,271.50125,-18.686722222222222,17.3,G,L65,2025,mpc_real,0003IK25N010 KB2025 07 01.92718118 06 00.30 -18 41 12.2          17.3 GV#0JSKL65
0003IK25N010,2460858.42763,271.50058333333334,-18.68691666666667,17.2,G,G00,2025,mpc_real,0003IK25N010 KB2025 07 01.92763 18 06 00.14 -18 41 12.9          17.2 GX#0JSKG00
0003IK25N010,2460858.42979,271.4995833333333,-18.68647222222222,17.4,G,G00,2025,mpc_real,0003IK25N010 KB2025 07 01.92979 18 05 59.90 -18 41 11.3          17.4 GX#0JSKG00
0003IK25N010,2460858.43255,271.4979583333333,-18.686805555555555,17.5,G,G00,2025,mpc_real,0003IK25N010 KB2025 07 01.93255 18 05 59.51 -18 41 12.5          17.5 GX#0JSKG00
0003IK25N010,2460858.43564,271.496375,-18.686777777777777,18.2,G,G00,2025,mpc_real,0003IK25N010 KB2025 07 01.93564 18 05 59.13 -18 41 12.4          18.2 GX#0JSKG00
0003IK25N010,2460858.436985,271.4957083333333,-18.686777777777777,17.3,G,L65,2025,mpc_real,0003IK25N010 KB2025 07 01.93698518 05 58.97 -18 41 12.4          17.3 GV#0JSKL65
0003IK25N010,2460858.43872,271.49479166666663,-18.686611111111112,18.1,G,G00,2025,mpc_real,0003IK25N010 KB2025 07 01.93872 18 05 58.75 -18 41 11.8          18.1 GX#0JSKG00
0003IK25N010,2460858.43872,271.4950416666667,-18.686666666666667,19.3,G,Z21,2025,mpc_real,0003IK25N010  C2025 07 01.93872 18 05 58.81 -18 41 12.0          19.3 GV#0JSKZ21
0003IK25N010,2460858.44084,271.4939166666666,-18.686611111111112,19.3,G,Z21,2025,mpc_real,0003IK25N010  C2025 07 01.94084 18 05 58.54 -18 41 11.8          19.3 GV#0JSKZ21
0003IK25N010,2460858.44295,271.492875,-18.686555555555557,19.0,G,Z21,2025,mpc_real,0003IK25N010  C2025 07 01.94295 18 05 58.29 -18 41 11.6          19.0 GV#0JSKZ21
0003IK25N010,2460858.460578,271.4835,-18.686416666666666,18.2,G,K62,2025,mpc_real,0003IK25N010 KC2025 07 01.96057818 05 56.04 -18 41 11.1          18.2 GV#0JSKK62
0003IK25N010,2460858.462071,271.48270833333333,-18.686444444444444,17.1,G,K62,2025,mpc_real,0003IK25N010 KC2025 07 01.96207118 05 55.85 -18 41 11.2          17.1 GV#0JSKK62
0003IK25N010,2460858.466648,271.48025,-18.68638888888889,18.3,G,K62,2025,mpc_real,0003IK25N010 KC2025 07 01.96664818 05 55.26 -18 41 11.0          18.3 GV#0JSKK62
0003IK25N010,2460858.467954,271.47945833333335,-18.68636111111111,17.2,G,K62,2025,mpc_real,0003IK25N010 KC2025 07 01.96795418 05 55.07 -18 41 10.9          17.2 GV#0JSKK62
0003IK25N010,2460858.480083,271.47367499999996,-18.68573611111111,18.3,V,Y05,2025,mpc_real,0003IK25N010 KB2025 07 01.98008318 05 53.682-18 41 08.65         18.3 VZ#0JSKY05
0003IK25N010,2460858.494213,271.4664041666667,-18.685575,18.6,V,Y05,2025,mpc_real,0003IK25N010 KB2025 07 01.99421318 05 51.937-18 41 08.07         18.6 VZ#0JSKY05
0003IK25N010,2460858.496167,271.4648875,-18.686255555555555,17.9,V,G33,2025,mpc_real,0003IK25N010 KC2025 07 01.99616718 05 51.573-18 41 10.52         17.9 Vq#0JSKG33
0003IK25N010,2460858.499676,271.46294583333326,-18.685891666666667,17.9,V,G33,2025,mpc_real,0003IK25N010 KC2025 07 01.99967618 05 51.107-18 41 09.21         17.9 Vq#0JSKG33
0003IK25N010,2460858.503185,271.46107083333334,-18.685858333333332,17.8,V,G33,2025,mpc_real,0003IK25N010 KC2025 07 02.00318518 05 50.657-18 41 09.09         17.8 Vq#0JSKG33
0003IK25N010,2460858.508044,271.45922499999995,-18.68541666666667,, ,Y05,2025,mpc_real,0003IK25N010 KB2025 07 02.00804418 05 50.214-18 41 07.50               Z#0JSKY05
0003IK25N010,2460858.514095,271.4558083333333,-18.68581111111111,18.38,w,R17,2025,mpc_real,0003IK25N010  C2025 07 02.01409518 05 49.394-18 41 08.92         18.38wV#0JSKR17
0003IK25N010,2460858.522545,271.4519583333333,-18.68513888888889,, ,X09,2025,mpc_real,0003IK25N010  C2025 07 02.02254518 05 48.47 -18 41 06.5                W#0JSKX09
0003IK25N010,2460858.527741,271.44865833333336,-18.68565,18.13,w,R17,2025,mpc_real,0003IK25N010  C2025 07 02.02774118 05 47.678-18 41 08.34         18.13wV#0JSKR17
0003IK25N010,2460858.529543,271.44829166666665,-18.68486111111111,, ,X09,2025,mpc_real,0003IK25N010  C2025 07 02.02954318 05 47.59 -18 41 05.5                W#0JSKX09
0003IK25N010,2460858.541376,271.44154166666664,-18.685480555555557,18.36,w,R17,2025,mpc_real,0003IK25N010  C2025 07 02.04137618 05 45.970-18 41 07.73         18.36wV#0JSKR17
0003IK25N010,2460858.555394,271.4342291666667,-18.685230555555556,18.26,w,R17,2025,mpc_real,0003IK25N010  C2025 07 02.05539418 05 44.215-18 41 06.83         18.26wV#0JSKR17
0003IK25N010,2460858.56925,271.42691666666667,-18.685083333333335,18.7,V,Y64,2025,mpc_real,0003IK25N010  B2025 07 02.06925 18 05 42.46 -18 41 06.3          18.7 VZ#0JSKY64
0003IK25N010,2460858.57105,271.42604166666666,-18.685055555555557,18.4,V,Y64,2025,mpc_real,0003IK25N010  B2025 07 02.07105 18 05 42.25 -18 41 06.2          18.4 VZ#0JSKY64
0003IK25N010,2460858.57249,271.4252916666666,-18.685055555555557,18.5,V,Y64,2025,mpc_real,0003IK25N010  B2025 07 02.07249 18 05 42.07 -18 41 06.2          18.5 VZ#0JSKY64
0003IK25N010,2460858.5747,271.424125,-18.68497222222222,18.5,V,Y64,2025,mpc_real,0003IK25N010  B2025 07 02.07470 18 05 41.79 -18 41 05.9          18.5 VZ#0JSKY64
0003IK25N010,2460858.57698,271.42291666666665,-18.68497222222222,18.5,V,Y64,2025,mpc_real,0003IK25N010  B2025 07 02.07698 18 05 41.50 -18 41 05.9          18.5 VZ#0JSKY64
0003IK25N010,2460858.64808,271.38559166666664,-18.68418888888889,16.8,G,G40,2025,mpc_real,0003IK25N010 _C2025 07 02.14808 18 05 32.542-18 41 03.08         16.8 GV#0JSKG40
0003IK25N010,2460858.65508,271.38197916666667,-18.683919444444445,17.2,G,G40,2025,mpc_real,0003IK25N010 _C2025 07 02.15508 18 05 31.675-18 41 02.11         17.2 GV#0JSKG40
0003IK25N010,2460858.662,271.3783583333333,-18.683919444444445,18.5,G,G40,2025,mpc_real,0003IK25N010 _C2025 07 02.16200 18 05 30.806-18 41 02.11         18.5 GV#0JSKG40
0003IK25N010,2460858.664412,271.37799583333333,-18.684058333333333,17.1,G,V11,2025,mpc_real,0003IK25N010 KC2025 07 02.16441218 05 30.719-18 41 02.61         17.1 GV#0JSKV11
0003IK25N010,2460858.66894,271.37470833333333,-18.683711111111112,18.0,G,G40,2025,mpc_real,0003IK25N010 _C2025 07 02.16894 18 05 29.930-18 41 01.36         18.0 GV#0JSKG40
0003IK25N010,2460858.672292,271.3739958333333,-18.68382777777778,16.9,G,V11,2025,mpc_real,0003IK25N010 KC2025 07 02.17229218 05 29.759-18 41 01.78         16.9 GV#0JSKV11
0003IK25N010,2460858.692,271.36324999999994,-18.682944444444445,, ,X07,2025,mpc_real,0003IK25N010 0C2025 07 02.19200 18 05 27.18 -18 40 58.6                V#0JSKX07
0003IK25N010,2460858.69365,271.3623333333333,-18.68288888888889,, ,X07,2025,mpc_real,0003IK25N010 0C2025 07 02.19365 18 05 26.96 -18 40 58.4                V#0JSKX07
0003IK25N010,2460858.69527,271.3614583333333,-18.682861111111112,, ,X07,2025,mpc_real,0003IK25N010 0C2025 07 02.19527 18 05 26.75 -18 40 58.3                V#0JSKX07
0003IK25N010,2460858.69688,271.36066666666665,-18.68288888888889,18.2,G,X07,2025,mpc_real,0003IK25N010 0C2025 07 02.19688 18 05 26.56 -18 40 58.4          18.2 GV#0JSKX07
0003IK25N010,2460858.722864,271.3474166666667,-18.68325,19.2,G,H21,2025,mpc_real,0003IK25N010 KC2025 07 02.22286418 05 23.38 -18 40 59.7          19.2 GV#0JSKH21
0003IK25N010,2460858.725706,271.34599999999995,-18.68325,19.3,G,H21,2025,mpc_real,0003IK25N010 KC2025 07 02.22570618 05 23.04 -18 40 59.7          19.3 GV#0JSKH21
0003IK25N010,2460858.72854,271.3440833333333,-18.682555555555556,17.2,R,I47,2025,mpc_real,0003IK25N010 KC2025 07 02.22854 18 05 22.58 -18 40 57.2          17.2 Rq#0JSKI47
0003IK25N010,2460858.72855,271.3445,-18.683194444444446,19.2,G,H21,2025,mpc_real,0003IK25N010 KC2025 07 02.22855018 05 22.68 -18 40 59.5          19.2 GV#0JSKH21
0003I,2460858.73362,271.34125416666666,-18.682469444444447,17.5,G,W93,2025,mpc_real,0003I         C2025 07 02.23362 18 05 21.901-18 40 56.89         17.5 GX#0JSKW93
0003I,2460858.73509,271.3405291666666,-18.682436111111112,17.7,G,W93,2025,mpc_real,0003I         C2025 07 02.23509 18 05 21.727-18 40 56.77         17.7 GX#0JSKW93
0003I,2460858.73666,271.339725,-18.682405555555558,17.8,G,W93,2025,mpc_real,0003I         C2025 07 02.23666 18 05 21.534-18 40 56.66         17.8 GX#0JSKW93
0003I,2460858.73823,271.3388958333333,-18.68237777777778,17.4,G,W93,2025,mpc_real,0003I         C2025 07 02.23823 18 05 21.335-18 40 56.56         17.4 GX#0JSKW93
0003IK25N010,2460858.75947,271.3279583333333,-18.682083333333335,18.3,G,807,2025,mpc_real,0003IK25N010 |C2025 07 02.25947018 05 18.710-18 40 55.50         18.3 GV#0JSK807
0003IK25N010,2460858.76493,271.32512499999996,-18.682055555555557,18.2,G,807,2025,mpc_real,0003IK25N010 |C2025 07 02.26493018 05 18.030-18 40 55.40         18.2 GV#0JSK807
0003IK25N010,2460858.7704,271.32225,-18.681972222222225,18.4,G,807,2025,mpc_real,0003IK25N010 |C2025 07 02.27040018 05 17.340-18 40 55.10         18.4 GV#0JSK807
0003IK25N010,2460858.77458,271.32004166666667,-18.68188888888889,, ,X07,2025,mpc_real,0003IK25N010 0C2025 07 02.27458 18 05 16.81 -18 40 54.8                V#0JSKX07
0003IK25N010,2460858.77674,271.3189166666666,-18.681833333333334,, ,X07,2025,mpc_real,0003IK25N010 0C2025 07 02.27674 18 05 16.54 -18 40 54.6                V#0JSKX07
0003IK25N010,2460858.77708,271.3186666666667,-18.68188888888889,17.4,R,I47,2025,mpc_real,0003IK25N010 KC2025 07 02.27708 18 05 16.48 -18 40 54.8          17.4 Rq#0JSKI47
0003IK25N010,2460858.778604,271.3178,-18.68186388888889,, ,W57,2025,mpc_real,0003IK25N010 1C2025 07 02.27860418 05 16.272-18 40 54.71               X#0JSKW57
0003IK25N010,2460858.77887,271.31779166666666,-18.68177777777778,, ,X07,2025,mpc_real,0003IK25N010 0C2025 07 02.27887 18 05 16.27 -18 40 54.4                V#0JSKX07
0003IK25N010,2460858.78101,271.3165833333333,-18.681694444444446,17.6,G,X07,2025,mpc_real,0003IK25N010 0C2025 07 02.28101 18 05 15.98 -18 40 54.1          17.6 GV#0JSKX07
0003IK25N010,2460858.781922,271.3169291666666,-18.682347222222223,17.4,G,T03,2025,mpc_real,0003IK25N010  B2025 07 02.28192218 05 16.063-18 40 56.45         17.4 GW#0JSKT03
0003IK25N010,2460858.782533,271.31664166666667,-18.682277777777777,17.1,G,T03,2025,mpc_real,0003IK25N010  B2025 07 02.28253318 05 15.994-18 40 56.20         17.1 GW#0JSKT03
0003IK25N010,2460858.783156,271.3163125,-18.682255555555557,17.2,G,T03,2025,mpc_real,0003IK25N010  B2025 07 02.28315618 05 15.915-18 40 56.12         17.2 GW#0JSKT03
0003IK25N010,2460858.785048,271.3153833333333,-18.68223888888889,17.4,G,T03,2025,mpc_real,0003IK25N010  B2025 07 02.28504818 05 15.692-18 40 56.06         17.4 GW#0JSKT03
0003IK25N010,2460858.790256,271.3118041666666,-18.681605555555556,, ,W57,2025,mpc_real,0003IK25N010 1C2025 07 02.29025618 05 14.833-18 40 53.78               X#0JSKW57
0003IK25N010,2460858.804711,271.3041958333333,-18.681530555555558,17.76,G,W85,2025,mpc_real,0003IK25N010 4C2025 07 02.30471118 05 13.007-18 40 53.51         17.76GW#0JSKW85
0003IK25N010,2460858.806164,271.30350416666664,-18.68145277777778,18.01,G,W85,2025,mpc_real,0003IK25N010 4C2025 07 02.30616418 05 12.841-18 40 53.23         18.01GW#0JSKW85
0003IK25N010,2460858.807648,271.3027083333333,-18.68145277777778,17.99,G,W85,2025,mpc_real,0003IK25N010 4C2025 07 02.30764818 05 12.650-18 40 53.23         17.99GW#0JSKW85
