designation,jd_utc,ra_deg,dec_deg,magnitude,band,obs_code,year,source,raw_line
0003I,2460874.72864,262.0469166666666,-18.279,17.8,r,829,2025,mpc_real,0003I         C2025 07 18.22864 17 28 11.26 -18 16 44.4          17.8 rW#0K4Y829
0003I,2460874.72949,262.04633333333334,-18.278972222222222,17.3,r,829,2025,mpc_real,0003I         C2025 07 18.22949 17 28 11.12 -18 16 44.3          17.3 rW#0K4Y829
0003I,2460874.80502,261.99907916666666,-18.275499999999997,17.3,V,E86,2025,mpc_real,0003I        KB2025 07 18.30502 17 27 59.779-18 16 31.80         17.3 VZ#0JmHE86
0003I,2460874.81109,261.99515833333334,-18.27525,17.8,V,E86,2025,mpc_real,0003I        KB2025 07 18.31109 17 27 58.838-18 16 30.90         17.8 VZ#0JmHE86
0003I,2460874.81722,261.99117916666665,-18.275019444444442,18.0,V,E86,2025,mpc_real,0003I        KB2025 07 18.31722 17 27 57.883-18 16 30.07         18.0 VZ#0JmHE86
0003I,2460874.87112,261.95682916666664,-18.272869444444442,17.7,V,E86,2025,mpc_real,0003I        KB2025 07 18.37112 17 27 49.639-18 16 22.33         17.7 VZ#0JmHE86
0003I,2460874.88013,261.95105,-18.272519444444445,17.6,V,E86,2025,mpc_real,0003I        KB2025 07 18.38013 17 27 48.252-18 16 21.07         17.6 VZ#0JmHE86
0003I,2460874.89008,261.9447083333333,-18.272169444444444,17.6,V,E86,2025,mpc_real,0003I        KB2025 07 18.39008 17 27 46.730-18 16 19.81         17.6 VZ#0JmHE86
0003I,2460874.893002,261.942225,-18.2728,17.85,G,F65,2025,mpc_real,0003I        %C2025 07 18.39300217 27 46.134-18 16 22.08         17.85GW#0JmHF65
0003I,2460874.894162,261.9415583333333,-18.272719444444444,17.83,G,F65,2025,mpc_real,0003I        %C2025 07 18.39416217 27 45.974-18 16 21.79         17.83GW#0JmHF65
0003I,2460874.895321,261.9407333333333,-18.272677777777776,17.62,G,F65,2025,mpc_real,0003I        %C2025 07 18.39532117 27 45.776-18 16 21.64         17.62GW#0JmHF65
0003I,2460874.896479,261.94006666666667,-18.272655555555556,17.82,G,F65,2025,mpc_real,0003I        %C2025 07 18.39647917 27 45.616-18 16 21.56         17.82GW#0JmHF65
0003I,2460874.897638,261.939325,-18.272566666666666,17.84,G,F65,2025,mpc_real,0003I        %C2025 07 18.39763817 27 45.438-18 16 21.24         17.84GW#0JmHF65
0003I,2460874.97394,261.8910916666667,-18.268880555555555,17.2,G,Q62,2025,mpc_real,0003I        {C2025 07 18.47394 17 27 33.862-18 16 07.97         17.2 GW#0K4YQ62
0003I,2460874.98995,261.8807791666666,-18.2682,17.3,G,Q62,2025,mpc_real,0003I        {C2025 07 18.48995 17 27 31.387-18 16 05.52         17.3 GW#0K4YQ62
0003I,2460875.03924,261.849375,-18.266777777777776,16.5,T,349,2025,mpc_real,0003I         C2025 07 18.53924 17 27 23.85 -18 16 00.4          16.5 Tm#0JmH349
0003I,2460875.048,261.843875,-18.266333333333332,, ,349,2025,mpc_real,0003I         C2025 07 18.54800 17 27 22.53 -18 15 58.8                m#0JmH349
0003I,2460875.08461,261.82009166666666,-18.264269444444444,18.3,V,E10,2025,mpc_real,0003I        /C2025 07 18.58461 17 27 16.822-18 15 51.37         18.3 VZ#0JmHE10
0003I,2460875.08576,261.81932916666665,-18.26418888888889,18.2,V,E10,2025,mpc_real,0003I        /C2025 07 18.58576 17 27 16.639-18 15 51.08         18.2 VZ#0JmHE10
0003I,2460875.08696,261.81862916666665,-18.264119444444443,18.2,V,E10,2025,mpc_real,0003I        /C2025 07 18.58696 17 27 16.471-18 15 50.83         18.2 VZ#0JmHE10
0003I,2460875.118576,261.79845416666666,-18.262894444444445,17.8,G,Q62,2025,mpc_real,0003I        dC2025 07 18.61857617 27 11.629-18 15 46.42         17.8 GV#0JmHQ62
0003I,2460875.125341,261.79406666666665,-18.262516666666667,17.8,G,Q62,2025,mpc_real,0003I        dC2025 07 18.62534117 27 10.576-18 15 45.06         17.8 GV#0JmHQ62
0003I,2460875.130666,261.79066666666665,-18.262369444444445,17.2,G,Q62,2025,mpc_real,0003I        dC2025 07 18.63066617 27 09.760-18 15 44.53         17.2 GV#0JmHQ62
0003I,2460875.18547,261.7563208333333,-18.26103888888889,17.2,G,N42,2025,mpc_real,0003I        KC2025 07 18.68547 17 27 01.517-18 15 39.74         17.2 GX#0JmHN42
0003I,2460875.18859,261.7542291666667,-18.260919444444443,17.7,G,N42,2025,mpc_real,0003I        KC2025 07 18.68859 17 27 01.015-18 15 39.31         17.7 GX#0JmHN42
0003I,2460875.19132,261.7524,-18.26086111111111,17.2,G,N42,2025,mpc_real,0003I        KC2025 07 18.69132 17 27 00.576-18 15 39.10         17.2 GX#0JmHN42
0003I,2460875.24274,261.72016666666667,-18.25786111111111,17.2,G,194,2025,mpc_real,0003I        KB2025 07 18.74274 17 26 52.84 -18 15 28.3          17.2 GX#0JmH194
0003I,2460875.24582,261.718125,-18.257694444444443,17.2,G,194,2025,mpc_real,0003I        KB2025 07 18.74582 17 26 52.35 -18 15 27.7          17.2 GX#0JmH194
0003I,2460875.24892,261.71625,-18.257527777777778,16.6,G,194,2025,mpc_real,0003I        KB2025 07 18.74892 17 26 51.90 -18 15 27.1          16.6 GX#0JmH194
0003I,2460875.25743,261.7107916666667,-18.257277777777777,17.2,G,194,2025,mpc_real,0003I         B2025 07 18.75743 17 26 50.59 -18 15 26.2          17.2 GX#0JmH194
0003I,2460875.25898,261.70979166666666,-18.25722222222222,17.0,G,194,2025,mpc_real,0003I         B2025 07 18.75898 17 26 50.35 -18 15 26.0          17.0 GX#0JmH194
0003I,2460875.3193,261.67129166666666,-18.2555,16.1,V,L90,2025,mpc_real,0003I        KC2025 07 18.81930 17 26 41.11 -18 15 19.8          16.1 Vq#0JmHL90
0003I,2460875.32244,261.66904166666666,-18.255277777777778,16.9,V,C82,2025,mpc_real,0003I        KC2025 07 18.82244 17 26 40.57 -18 15 19.0          16.9 VZ#0JmHC82
0003I,2460875.32758,261.6655416666667,-18.25488888888889,17.2,V,L90,2025,mpc_real,0003I        KC2025 07 18.82758 17 26 39.73 -18 15 17.6          17.2 Vq#0JmIL90
0003I,2460875.32835,261.665125,-18.25497222222222,16.6,V,C82,2025,mpc_real,0003I        KC2025 07 18.82835 17 26 39.63 -18 15 17.9          16.6 VZ#0JmIC82
0003I,2460875.33561,261.6605,-18.254722222222224,17.2,V,L90,2025,mpc_real,0003I        KC2025 07 18.83561 17 26 38.52 -18 15 17.0          17.2 Vq#0JmIL90
0003I,2460875.34382,261.6552791666667,-18.25441111111111,16.7,V,M24,2025,mpc_real,0003I        KB2025 07 18.84382 17 26 37.267-18 15 15.88         16.7 Vq#0JmIM24
0003I,2460875.3501,261.6512916666667,-18.254119444444445,16.7,V,M24,2025,mpc_real,0003I        KB2025 07 18.85010 17 26 36.310-18 15 14.83         16.7 Vq#0JmIM24
0003I,2460875.35569,261.64755833333334,-18.25395,16.7,V,M24,2025,mpc_real,0003I        KB2025 07 18.85569 17 26 35.414-18 15 14.22         16.7 Vq#0JmIM24
0003I,2460875.385214,261.62883750000003,-18.252813888888888,16.9,R,B72,2025,mpc_real,0003I        KB2025 07 18.88521417 26 30.921-18 15 10.13         16.9 RZ#0JmIB72
0003I,2460875.38831,261.62657916666666,-18.252588888888887,17.2,V,M38,2025,mpc_real,0003I        KC2025 07 18.88831 17 26 30.379-18 15 09.32         17.2 VZ#0JmIM38
0003I,2460875.392267,261.62416666666667,-18.252444444444443,16.8,G,104,2025,mpc_real,0003I        KC2025 07 18.89226717 26 29.80 -18 15 08.8          16.8 GV#0JmI104
0003I,2460875.39322,261.62330833333334,-18.25236111111111,16.6,G,B50,2025,mpc_real,0003I         B2025 07 18.89322 17 26 29.594-18 15 08.50         16.6 GV#0JmIB50
0003I,2460875.39529,261.6222791666667,-18.252319444444446,, ,D63,2025,mpc_real,0003I        KC2025 07 18.89529 17 26 29.347-18 15 08.35               Z#0JmID63
0003I,2460875.39936,261.61965833333335,-18.25206111111111,14.9,G,K87,2025,mpc_real,0003I        KB2025 07 18.89936 17 26 28.718-18 15 07.42         14.9 GX#0JmIK87
